Team,Season,Games Played,Wins,Losses,Overtime Losses,Points,Point Percentage,Goals For,Goals Against
New Jersey Devils,2011-12,82.0,48.0,28.0,6.0,102.0,0.622,216.0,205.0
New York Islanders,2011-12,82.0,34.0,37.0,11.0,79.0,0.482,196.0,251.0
New York Rangers,2011-12,82.0,51.0,24.0,7.0,109.0,0.665,222.0,182.0
Philadelphia Flyers,2011-12,82.0,47.0,26.0,9.0,103.0,0.628,260.0,225.0
Pittsburgh Penguins,2011-12,82.0,51.0,25.0,6.0,108.0,0.659,273.0,218.0
Boston Bruins,2011-12,82.0,49.0,29.0,4.0,102.0,0.622,260.0,199.0
Buffalo Sabres,2011-12,82.0,39.0,32.0,11.0,89.0,0.543,211.0,223.0
Montréal Canadiens,2011-12,82.0,31.0,35.0,16.0,78.0,0.476,207.0,214.0
Ottawa Senators,2011-12,82.0,41.0,31.0,10.0,92.0,0.561,243.0,236.0
Toronto Maple Leafs,2011-12,82.0,35.0,37.0,10.0,80.0,0.488,227.0,259.0
Carolina Hurricanes,2011-12,82.0,33.0,33.0,16.0,82.0,0.5,212.0,237.0
Florida Panthers,2011-12,82.0,38.0,26.0,18.0,94.0,0.573,197.0,216.0
Tampa Bay Lightning,2011-12,82.0,38.0,36.0,8.0,84.0,0.512,232.0,278.0
Washington Capitals,2011-12,82.0,42.0,32.0,8.0,92.0,0.561,218.0,226.0
Chicago Blackhawks,2011-12,82.0,45.0,26.0,11.0,101.0,0.616,241.0,231.0
Detroit Red Wings,2011-12,82.0,48.0,28.0,6.0,102.0,0.622,239.0,200.0
Nashville Predators,2011-12,82.0,48.0,26.0,8.0,104.0,0.634,232.0,205.0
St. Louis Blues,2011-12,82.0,49.0,22.0,11.0,109.0,0.665,206.0,155.0
Calgary Flames,2011-12,82.0,37.0,29.0,16.0,90.0,0.549,199.0,217.0
Colorado Avalanche,2011-12,82.0,41.0,35.0,6.0,88.0,0.537,199.0,218.0
Edmonton Oilers,2011-12,82.0,32.0,40.0,10.0,74.0,0.451,207.0,232.0
Vancouver Canucks,2011-12,82.0,51.0,22.0,9.0,111.0,0.677,241.0,191.0
Anaheim Ducks,2011-12,82.0,34.0,36.0,12.0,80.0,0.488,201.0,224.0
Dallas Stars,2011-12,82.0,42.0,35.0,5.0,89.0,0.543,204.0,218.0
Los Angeles Kings,2011-12,82.0,40.0,27.0,15.0,95.0,0.579,188.0,170.0
Phoenix Coyotes,2011-12,82.0,42.0,27.0,13.0,97.0,0.591,210.0,194.0
San Jose Sharks,2011-12,82.0,43.0,29.0,10.0,96.0,0.585,219.0,205.0
Columbus Blue Jackets,2011-12,82.0,29.0,46.0,7.0,65.0,0.396,198.0,257.0
Minnesota Wild,2011-12,82.0,35.0,36.0,11.0,81.0,0.494,166.0,217.0
Winnipeg Jets,2011-12,82.0,37.0,35.0,10.0,84.0,0.512,221.0,242.0
New Jersey Devils,2012-13,48.0,19.0,19.0,10.0,48.0,0.5,110.0,122.0
New York Islanders,2012-13,48.0,24.0,17.0,7.0,55.0,0.573,135.0,136.0
New York Rangers,2012-13,48.0,26.0,18.0,4.0,56.0,0.583,126.0,108.0
Philadelphia Flyers,2012-13,48.0,23.0,22.0,3.0,49.0,0.51,132.0,139.0
Pittsburgh Penguins,2012-13,48.0,36.0,12.0,0.0,72.0,0.75,162.0,119.0
Boston Bruins,2012-13,48.0,28.0,14.0,6.0,62.0,0.646,127.0,106.0
Buffalo Sabres,2012-13,48.0,21.0,21.0,6.0,48.0,0.5,118.0,139.0
Montréal Canadiens,2012-13,48.0,29.0,14.0,5.0,63.0,0.656,146.0,124.0
Ottawa Senators,2012-13,48.0,25.0,17.0,6.0,56.0,0.583,112.0,100.0
Toronto Maple Leafs,2012-13,48.0,26.0,17.0,5.0,57.0,0.594,145.0,128.0
Carolina Hurricanes,2012-13,48.0,19.0,25.0,4.0,42.0,0.438,127.0,159.0
Florida Panthers,2012-13,48.0,15.0,27.0,6.0,36.0,0.375,109.0,170.0
Tampa Bay Lightning,2012-13,48.0,18.0,26.0,4.0,40.0,0.417,147.0,147.0
Washington Capitals,2012-13,48.0,27.0,18.0,3.0,57.0,0.594,146.0,130.0
Chicago Blackhawks,2012-13,48.0,36.0,7.0,5.0,77.0,0.802,149.0,97.0
Detroit Red Wings,2012-13,48.0,24.0,16.0,8.0,56.0,0.583,122.0,110.0
Nashville Predators,2012-13,48.0,16.0,23.0,9.0,41.0,0.427,109.0,133.0
St. Louis Blues,2012-13,48.0,29.0,17.0,2.0,60.0,0.625,124.0,114.0
Calgary Flames,2012-13,48.0,19.0,25.0,4.0,42.0,0.438,128.0,157.0
Colorado Avalanche,2012-13,48.0,16.0,25.0,7.0,39.0,0.406,114.0,150.0
Edmonton Oilers,2012-13,48.0,19.0,22.0,7.0,45.0,0.469,123.0,131.0
Vancouver Canucks,2012-13,48.0,26.0,15.0,7.0,59.0,0.615,122.0,115.0
Anaheim Ducks,2012-13,48.0,30.0,12.0,6.0,66.0,0.688,134.0,115.0
Dallas Stars,2012-13,48.0,22.0,22.0,4.0,48.0,0.5,128.0,141.0
Los Angeles Kings,2012-13,48.0,27.0,16.0,5.0,59.0,0.615,131.0,114.0
Phoenix Coyotes,2012-13,48.0,21.0,18.0,9.0,51.0,0.531,121.0,125.0
San Jose Sharks,2012-13,48.0,25.0,16.0,7.0,57.0,0.594,116.0,112.0
Columbus Blue Jackets,2012-13,48.0,24.0,17.0,7.0,55.0,0.573,115.0,115.0
Minnesota Wild,2012-13,48.0,26.0,19.0,3.0,55.0,0.573,118.0,125.0
Winnipeg Jets,2012-13,48.0,24.0,21.0,3.0,51.0,0.531,126.0,141.0
New Jersey Devils,2013-14,82.0,35.0,29.0,18.0,88.0,0.537,197.0,195.0
New York Islanders,2013-14,82.0,34.0,37.0,11.0,79.0,0.482,216.0,261.0
New York Rangers,2013-14,82.0,45.0,31.0,6.0,96.0,0.585,214.0,190.0
Philadelphia Flyers,2013-14,82.0,42.0,30.0,10.0,94.0,0.573,233.0,227.0
Pittsburgh Penguins,2013-14,82.0,51.0,24.0,7.0,109.0,0.665,242.0,204.0
Boston Bruins,2013-14,82.0,54.0,19.0,9.0,117.0,0.713,258.0,171.0
Buffalo Sabres,2013-14,82.0,21.0,51.0,10.0,52.0,0.317,150.0,243.0
Montréal Canadiens,2013-14,82.0,46.0,28.0,8.0,100.0,0.61,209.0,201.0
Ottawa Senators,2013-14,82.0,37.0,31.0,14.0,88.0,0.537,229.0,258.0
Toronto Maple Leafs,2013-14,82.0,38.0,36.0,8.0,84.0,0.512,222.0,252.0
Carolina Hurricanes,2013-14,82.0,36.0,35.0,11.0,83.0,0.506,205.0,226.0
Florida Panthers,2013-14,82.0,29.0,45.0,8.0,66.0,0.402,188.0,262.0
Tampa Bay Lightning,2013-14,82.0,46.0,27.0,9.0,101.0,0.616,232.0,209.0
Washington Capitals,2013-14,82.0,38.0,30.0,14.0,90.0,0.549,225.0,229.0
Chicago Blackhawks,2013-14,82.0,46.0,21.0,15.0,107.0,0.652,261.0,212.0
Detroit Red Wings,2013-14,82.0,39.0,28.0,15.0,93.0,0.567,217.0,221.0
Nashville Predators,2013-14,82.0,38.0,32.0,12.0,88.0,0.537,214.0,233.0
St. Louis Blues,2013-14,82.0,52.0,23.0,7.0,111.0,0.677,239.0,188.0
Calgary Flames,2013-14,82.0,35.0,40.0,7.0,77.0,0.47,202.0,238.0
Colorado Avalanche,2013-14,82.0,52.0,22.0,8.0,112.0,0.683,245.0,216.0
Edmonton Oilers,2013-14,82.0,29.0,44.0,9.0,67.0,0.409,199.0,267.0
Vancouver Canucks,2013-14,82.0,36.0,35.0,11.0,83.0,0.506,191.0,216.0
Anaheim Ducks,2013-14,82.0,54.0,20.0,8.0,116.0,0.707,263.0,203.0
Dallas Stars,2013-14,82.0,40.0,31.0,11.0,91.0,0.555,231.0,223.0
Los Angeles Kings,2013-14,82.0,46.0,28.0,8.0,100.0,0.61,198.0,168.0
Phoenix Coyotes,2013-14,82.0,37.0,30.0,15.0,89.0,0.543,210.0,224.0
San Jose Sharks,2013-14,82.0,51.0,22.0,9.0,111.0,0.677,239.0,193.0
Columbus Blue Jackets,2013-14,82.0,43.0,32.0,7.0,93.0,0.567,226.0,214.0
Minnesota Wild,2013-14,82.0,43.0,27.0,12.0,98.0,0.598,199.0,198.0
Winnipeg Jets,2013-14,82.0,37.0,35.0,10.0,84.0,0.512,219.0,231.0
New Jersey Devils,2014-15,82.0,32.0,36.0,14.0,78.0,0.476,176.0,209.0
New York Islanders,2014-15,82.0,47.0,28.0,7.0,101.0,0.616,245.0,224.0
New York Rangers,2014-15,82.0,53.0,22.0,7.0,113.0,0.689,248.0,187.0
Philadelphia Flyers,2014-15,82.0,33.0,31.0,18.0,84.0,0.512,212.0,223.0
Pittsburgh Penguins,2014-15,82.0,43.0,27.0,12.0,98.0,0.598,217.0,204.0
Boston Bruins,2014-15,82.0,41.0,27.0,14.0,96.0,0.585,209.0,201.0
Buffalo Sabres,2014-15,82.0,23.0,51.0,8.0,54.0,0.329,153.0,269.0
Montréal Canadiens,2014-15,82.0,50.0,22.0,10.0,110.0,0.671,214.0,184.0
Ottawa Senators,2014-15,82.0,43.0,26.0,13.0,99.0,0.604,232.0,208.0
Toronto Maple Leafs,2014-15,82.0,30.0,44.0,8.0,68.0,0.415,206.0,257.0
Carolina Hurricanes,2014-15,82.0,30.0,41.0,11.0,71.0,0.433,183.0,219.0
Florida Panthers,2014-15,82.0,38.0,29.0,15.0,91.0,0.555,198.0,213.0
Tampa Bay Lightning,2014-15,82.0,50.0,24.0,8.0,108.0,0.659,259.0,206.0
Washington Capitals,2014-15,82.0,45.0,26.0,11.0,101.0,0.616,237.0,199.0
Chicago Blackhawks,2014-15,82.0,48.0,28.0,6.0,102.0,0.622,220.0,186.0
Detroit Red Wings,2014-15,82.0,43.0,25.0,14.0,100.0,0.61,231.0,211.0
Nashville Predators,2014-15,82.0,47.0,25.0,10.0,104.0,0.634,226.0,202.0
St. Louis Blues,2014-15,82.0,51.0,24.0,7.0,109.0,0.665,239.0,197.0
Calgary Flames,2014-15,82.0,45.0,30.0,7.0,97.0,0.591,237.0,213.0
Colorado Avalanche,2014-15,82.0,39.0,31.0,12.0,90.0,0.549,209.0,223.0
Edmonton Oilers,2014-15,82.0,24.0,44.0,14.0,62.0,0.378,193.0,276.0
Vancouver Canucks,2014-15,82.0,48.0,29.0,5.0,101.0,0.616,236.0,220.0
Anaheim Ducks,2014-15,82.0,51.0,24.0,7.0,109.0,0.665,228.0,221.0
Dallas Stars,2014-15,82.0,41.0,31.0,10.0,92.0,0.561,257.0,257.0
Los Angeles Kings,2014-15,82.0,40.0,27.0,15.0,95.0,0.579,218.0,197.0
San Jose Sharks,2014-15,82.0,40.0,33.0,9.0,89.0,0.543,224.0,226.0
Columbus Blue Jackets,2014-15,82.0,42.0,35.0,5.0,89.0,0.543,227.0,248.0
Minnesota Wild,2014-15,82.0,46.0,28.0,8.0,100.0,0.61,227.0,198.0
Winnipeg Jets,2014-15,82.0,43.0,26.0,13.0,99.0,0.604,223.0,204.0
Arizona Coyotes,2014-15,82.0,24.0,50.0,8.0,56.0,0.341,165.0,267.0
New Jersey Devils,2015-16,82.0,38.0,36.0,8.0,84.0,0.512,182.0,202.0
New York Islanders,2015-16,82.0,45.0,27.0,10.0,100.0,0.61,227.0,211.0
New York Rangers,2015-16,82.0,46.0,27.0,9.0,101.0,0.616,233.0,215.0
Philadelphia Flyers,2015-16,82.0,41.0,27.0,14.0,96.0,0.585,211.0,210.0
Pittsburgh Penguins,2015-16,82.0,48.0,26.0,8.0,104.0,0.634,241.0,199.0
Boston Bruins,2015-16,82.0,42.0,31.0,9.0,93.0,0.567,236.0,228.0
Buffalo Sabres,2015-16,82.0,35.0,36.0,11.0,81.0,0.494,199.0,215.0
Montréal Canadiens,2015-16,82.0,38.0,38.0,6.0,82.0,0.5,216.0,233.0
Ottawa Senators,2015-16,82.0,38.0,35.0,9.0,85.0,0.518,230.0,241.0
Toronto Maple Leafs,2015-16,82.0,29.0,42.0,11.0,69.0,0.421,192.0,240.0
Carolina Hurricanes,2015-16,82.0,35.0,31.0,16.0,86.0,0.524,196.0,221.0
Florida Panthers,2015-16,82.0,47.0,26.0,9.0,103.0,0.628,232.0,200.0
Tampa Bay Lightning,2015-16,82.0,46.0,31.0,5.0,97.0,0.591,224.0,198.0
Washington Capitals,2015-16,82.0,56.0,18.0,8.0,120.0,0.732,248.0,191.0
Chicago Blackhawks,2015-16,82.0,47.0,26.0,9.0,103.0,0.628,234.0,207.0
Detroit Red Wings,2015-16,82.0,41.0,30.0,11.0,93.0,0.567,209.0,219.0
Nashville Predators,2015-16,82.0,41.0,27.0,14.0,96.0,0.585,224.0,213.0
St. Louis Blues,2015-16,82.0,49.0,24.0,9.0,107.0,0.652,219.0,197.0
Calgary Flames,2015-16,82.0,35.0,40.0,7.0,77.0,0.47,229.0,257.0
Colorado Avalanche,2015-16,82.0,39.0,39.0,4.0,82.0,0.5,212.0,240.0
Edmonton Oilers,2015-16,82.0,31.0,43.0,8.0,70.0,0.427,199.0,242.0
Vancouver Canucks,2015-16,82.0,31.0,38.0,13.0,75.0,0.457,186.0,239.0
Anaheim Ducks,2015-16,82.0,46.0,25.0,11.0,103.0,0.628,215.0,188.0
Dallas Stars,2015-16,82.0,50.0,23.0,9.0,109.0,0.665,265.0,228.0
Los Angeles Kings,2015-16,82.0,48.0,28.0,6.0,102.0,0.622,223.0,192.0
San Jose Sharks,2015-16,82.0,46.0,30.0,6.0,98.0,0.598,237.0,207.0
Columbus Blue Jackets,2015-16,82.0,34.0,40.0,8.0,76.0,0.463,213.0,248.0
Minnesota Wild,2015-16,82.0,38.0,33.0,11.0,87.0,0.53,213.0,204.0
Winnipeg Jets,2015-16,82.0,35.0,39.0,8.0,78.0,0.476,212.0,236.0
Arizona Coyotes,2015-16,82.0,35.0,39.0,8.0,78.0,0.476,208.0,244.0
New Jersey Devils,2016-17,82.0,28.0,40.0,14.0,70.0,0.427,180.0,241.0
New York Islanders,2016-17,82.0,41.0,29.0,12.0,94.0,0.573,239.0,238.0
New York Rangers,2016-17,82.0,48.0,28.0,6.0,102.0,0.622,253.0,216.0
Philadelphia Flyers,2016-17,82.0,39.0,33.0,10.0,88.0,0.537,212.0,231.0
Pittsburgh Penguins,2016-17,82.0,50.0,21.0,11.0,111.0,0.677,278.0,229.0
Boston Bruins,2016-17,82.0,44.0,31.0,7.0,95.0,0.579,232.0,209.0
Buffalo Sabres,2016-17,82.0,33.0,37.0,12.0,78.0,0.476,199.0,231.0
Montréal Canadiens,2016-17,82.0,47.0,26.0,9.0,103.0,0.628,223.0,198.0
Ottawa Senators,2016-17,82.0,44.0,28.0,10.0,98.0,0.598,206.0,210.0
Toronto Maple Leafs,2016-17,82.0,40.0,27.0,15.0,95.0,0.579,250.0,234.0
Carolina Hurricanes,2016-17,82.0,36.0,31.0,15.0,87.0,0.53,212.0,230.0
Florida Panthers,2016-17,82.0,35.0,36.0,11.0,81.0,0.494,205.0,231.0
Tampa Bay Lightning,2016-17,82.0,42.0,30.0,10.0,94.0,0.573,230.0,224.0
Washington Capitals,2016-17,82.0,55.0,19.0,8.0,118.0,0.72,261.0,177.0
Chicago Blackhawks,2016-17,82.0,50.0,23.0,9.0,109.0,0.665,240.0,212.0
Detroit Red Wings,2016-17,82.0,33.0,36.0,13.0,79.0,0.482,198.0,244.0
Nashville Predators,2016-17,82.0,41.0,29.0,12.0,94.0,0.573,238.0,220.0
St. Louis Blues,2016-17,82.0,46.0,29.0,7.0,99.0,0.604,233.0,216.0
Calgary Flames,2016-17,82.0,45.0,33.0,4.0,94.0,0.573,222.0,219.0
Colorado Avalanche,2016-17,82.0,22.0,56.0,4.0,48.0,0.293,165.0,276.0
Edmonton Oilers,2016-17,82.0,47.0,26.0,9.0,103.0,0.628,243.0,207.0
Vancouver Canucks,2016-17,82.0,30.0,43.0,9.0,69.0,0.421,178.0,241.0
Anaheim Ducks,2016-17,82.0,46.0,23.0,13.0,105.0,0.64,220.0,197.0
Dallas Stars,2016-17,82.0,34.0,37.0,11.0,79.0,0.482,222.0,260.0
Los Angeles Kings,2016-17,82.0,39.0,35.0,8.0,86.0,0.524,199.0,201.0
San Jose Sharks,2016-17,82.0,46.0,29.0,7.0,99.0,0.604,219.0,200.0
Columbus Blue Jackets,2016-17,82.0,50.0,24.0,8.0,108.0,0.659,247.0,193.0
Minnesota Wild,2016-17,82.0,49.0,25.0,8.0,106.0,0.646,263.0,206.0
Winnipeg Jets,2016-17,82.0,40.0,35.0,7.0,87.0,0.53,246.0,255.0
Arizona Coyotes,2016-17,82.0,30.0,42.0,10.0,70.0,0.427,191.0,258.0
New Jersey Devils,2017-18,82.0,44.0,29.0,9.0,97.0,0.591,243.0,240.0
New York Islanders,2017-18,82.0,35.0,37.0,10.0,80.0,0.488,261.0,293.0
New York Rangers,2017-18,82.0,34.0,39.0,9.0,77.0,0.47,228.0,263.0
Philadelphia Flyers,2017-18,82.0,42.0,26.0,14.0,98.0,0.598,249.0,236.0
Pittsburgh Penguins,2017-18,82.0,47.0,29.0,6.0,100.0,0.61,270.0,248.0
Boston Bruins,2017-18,82.0,50.0,20.0,12.0,112.0,0.683,267.0,211.0
Buffalo Sabres,2017-18,82.0,25.0,45.0,12.0,62.0,0.378,198.0,278.0
Montréal Canadiens,2017-18,82.0,29.0,40.0,13.0,71.0,0.433,207.0,258.0
Ottawa Senators,2017-18,82.0,28.0,43.0,11.0,67.0,0.409,219.0,284.0
Toronto Maple Leafs,2017-18,82.0,49.0,26.0,7.0,105.0,0.64,270.0,230.0
Carolina Hurricanes,2017-18,82.0,36.0,35.0,11.0,83.0,0.506,225.0,253.0
Florida Panthers,2017-18,82.0,44.0,30.0,8.0,96.0,0.585,245.0,243.0
Tampa Bay Lightning,2017-18,82.0,54.0,23.0,5.0,113.0,0.689,290.0,234.0
Washington Capitals,2017-18,82.0,49.0,26.0,7.0,105.0,0.64,256.0,238.0
Chicago Blackhawks,2017-18,82.0,33.0,39.0,10.0,76.0,0.463,228.0,254.0
Detroit Red Wings,2017-18,82.0,30.0,39.0,13.0,73.0,0.445,212.0,254.0
Nashville Predators,2017-18,82.0,53.0,18.0,11.0,117.0,0.713,261.0,204.0
St. Louis Blues,2017-18,82.0,44.0,32.0,6.0,94.0,0.573,223.0,222.0
Calgary Flames,2017-18,82.0,37.0,35.0,10.0,84.0,0.512,216.0,243.0
