Team,Season,Games Played,Wins,Losses,Overtime Losses,Points,Point Percentage,Goals For,Goals Against
Colorado Avalanche,2017-18,82.0,43.0,30.0,9.0,95.0,0.579,255.0,236.0
Edmonton Oilers,2017-18,82.0,36.0,40.0,6.0,78.0,0.476,229.0,262.0
Vancouver Canucks,2017-18,82.0,31.0,40.0,11.0,73.0,0.445,218.0,259.0
Anaheim Ducks,2017-18,82.0,44.0,25.0,13.0,101.0,0.616,231.0,209.0
Dallas Stars,2017-18,82.0,42.0,32.0,8.0,92.0,0.561,231.0,222.0
Los Angeles Kings,2017-18,82.0,45.0,29.0,8.0,98.0,0.598,237.0,202.0
San Jose Sharks,2017-18,82.0,45.0,27.0,10.0,100.0,0.61,247.0,226.0
Columbus Blue Jackets,2017-18,82.0,45.0,30.0,7.0,97.0,0.591,236.0,226.0
Minnesota Wild,2017-18,82.0,45.0,26.0,11.0,101.0,0.616,250.0,229.0
Winnipeg Jets,2017-18,82.0,52.0,20.0,10.0,114.0,0.695,273.0,216.0
Arizona Coyotes,2017-18,82.0,29.0,41.0,12.0,70.0,0.427,206.0,251.0
Vegas Golden Knights,2017-18,82.0,51.0,24.0,7.0,109.0,0.665,268.0,225.0
New Jersey Devils,2018-19,82.0,31.0,41.0,10.0,72.0,0.439,219.0,271.0
New York Islanders,2018-19,82.0,48.0,27.0,7.0,103.0,0.628,223.0,191.0
New York Rangers,2018-19,82.0,32.0,36.0,14.0,78.0,0.476,221.0,267.0
Philadelphia Flyers,2018-19,82.0,37.0,37.0,8.0,82.0,0.5,241.0,280.0
Pittsburgh Penguins,2018-19,82.0,44.0,26.0,12.0,100.0,0.61,271.0,238.0
Boston Bruins,2018-19,82.0,49.0,24.0,9.0,107.0,0.652,257.0,212.0
Buffalo Sabres,2018-19,82.0,33.0,39.0,10.0,76.0,0.463,221.0,268.0
Montréal Canadiens,2018-19,82.0,44.0,30.0,8.0,96.0,0.585,246.0,236.0
Ottawa Senators,2018-19,82.0,29.0,47.0,6.0,64.0,0.39,242.0,301.0
Toronto Maple Leafs,2018-19,82.0,46.0,28.0,8.0,100.0,0.61,286.0,249.0
Carolina Hurricanes,2018-19,82.0,46.0,29.0,7.0,99.0,0.604,243.0,221.0
Florida Panthers,2018-19,82.0,36.0,32.0,14.0,86.0,0.524,264.0,273.0
Tampa Bay Lightning,2018-19,82.0,62.0,16.0,4.0,128.0,0.78,319.0,221.0
Washington Capitals,2018-19,82.0,48.0,26.0,8.0,104.0,0.634,274.0,248.0
Chicago Blackhawks,2018-19,82.0,36.0,34.0,12.0,84.0,0.512,267.0,291.0
Detroit Red Wings,2018-19,82.0,32.0,40.0,10.0,74.0,0.451,224.0,272.0
Nashville Predators,2018-19,82.0,47.0,29.0,6.0,100.0,0.61,236.0,212.0
St. Louis Blues,2018-19,82.0,45.0,28.0,9.0,99.0,0.604,244.0,220.0
Calgary Flames,2018-19,82.0,50.0,25.0,7.0,107.0,0.652,289.0,223.0
Colorado Avalanche,2018-19,82.0,38.0,30.0,14.0,90.0,0.549,258.0,244.0
Edmonton Oilers,2018-19,82.0,35.0,38.0,9.0,79.0,0.482,229.0,271.0
Vancouver Canucks,2018-19,82.0,35.0,36.0,11.0,81.0,0.494,219.0,248.0
Anaheim Ducks,2018-19,82.0,35.0,37.0,10.0,80.0,0.488,196.0,248.0
Dallas Stars,2018-19,82.0,43.0,32.0,7.0,93.0,0.567,209.0,200.0
Los Angeles Kings,2018-19,82.0,31.0,42.0,9.0,71.0,0.433,199.0,259.0
San Jose Sharks,2018-19,82.0,46.0,27.0,9.0,101.0,0.616,289.0,258.0
Columbus Blue Jackets,2018-19,82.0,47.0,31.0,4.0,98.0,0.598,256.0,231.0
Minnesota Wild,2018-19,82.0,37.0,36.0,9.0,83.0,0.506,210.0,233.0
Winnipeg Jets,2018-19,82.0,47.0,30.0,5.0,99.0,0.604,270.0,243.0
Arizona Coyotes,2018-19,82.0,39.0,35.0,8.0,86.0,0.524,209.0,220.0
Vegas Golden Knights,2018-19,82.0,43.0,32.0,7.0,93.0,0.567,246.0,228.0
New Jersey Devils,2019-20,69.0,28.0,29.0,12.0,68.0,0.493,185.0,224.0
New York Islanders,2019-20,68.0,35.0,23.0,10.0,80.0,0.588,189.0,190.0
New York Rangers,2019-20,70.0,37.0,28.0,5.0,79.0,0.564,233.0,220.0
Philadelphia Flyers,2019-20,69.0,41.0,21.0,7.0,89.0,0.645,227.0,191.0
Pittsburgh Penguins,2019-20,69.0,40.0,23.0,6.0,86.0,0.623,221.0,196.0
Boston Bruins,2019-20,70.0,44.0,14.0,12.0,100.0,0.714,227.0,167.0
Buffalo Sabres,2019-20,69.0,30.0,31.0,8.0,68.0,0.493,193.0,215.0
Montréal Canadiens,2019-20,71.0,31.0,31.0,9.0,71.0,0.5,208.0,220.0
Ottawa Senators,2019-20,71.0,25.0,34.0,12.0,62.0,0.437,190.0,238.0
Toronto Maple Leafs,2019-20,70.0,36.0,25.0,9.0,81.0,0.579,237.0,222.0
Carolina Hurricanes,2019-20,68.0,38.0,25.0,5.0,81.0,0.596,217.0,193.0
Florida Panthers,2019-20,69.0,35.0,26.0,8.0,78.0,0.565,228.0,224.0
Tampa Bay Lightning,2019-20,70.0,43.0,21.0,6.0,92.0,0.657,243.0,194.0
Washington Capitals,2019-20,69.0,41.0,20.0,8.0,90.0,0.652,236.0,212.0
Chicago Blackhawks,2019-20,70.0,32.0,30.0,8.0,72.0,0.514,208.0,214.0
Detroit Red Wings,2019-20,71.0,17.0,49.0,5.0,39.0,0.275,142.0,265.0
Nashville Predators,2019-20,69.0,35.0,26.0,8.0,78.0,0.565,212.0,214.0
St. Louis Blues,2019-20,71.0,42.0,19.0,10.0,94.0,0.662,223.0,190.0
Calgary Flames,2019-20,70.0,36.0,27.0,7.0,79.0,0.564,204.0,214.0
Colorado Avalanche,2019-20,70.0,42.0,20.0,8.0,92.0,0.657,236.0,190.0
Edmonton Oilers,2019-20,71.0,37.0,25.0,9.0,83.0,0.585,223.0,215.0
Vancouver Canucks,2019-20,69.0,36.0,27.0,6.0,78.0,0.565,224.0,214.0
Anaheim Ducks,2019-20,71.0,29.0,33.0,9.0,67.0,0.472,182.0,225.0
Dallas Stars,2019-20,69.0,37.0,24.0,8.0,82.0,0.594,178.0,174.0
Los Angeles Kings,2019-20,70.0,29.0,35.0,6.0,64.0,0.457,177.0,209.0
San Jose Sharks,2019-20,70.0,29.0,36.0,5.0,63.0,0.45,180.0,225.0
Columbus Blue Jackets,2019-20,70.0,33.0,22.0,15.0,81.0,0.579,180.0,183.0
Minnesota Wild,2019-20,69.0,35.0,27.0,7.0,77.0,0.558,218.0,217.0
Winnipeg Jets,2019-20,71.0,37.0,28.0,6.0,80.0,0.563,213.0,201.0
Arizona Coyotes,2019-20,70.0,33.0,29.0,8.0,74.0,0.529,190.0,183.0
Vegas Golden Knights,2019-20,71.0,39.0,24.0,8.0,86.0,0.606,224.0,209.0
New Jersey Devils,2020-21,56.0,19.0,30.0,7.0,45.0,0.402,145.0,189.0
New York Islanders,2020-21,56.0,32.0,17.0,7.0,71.0,0.634,152.0,125.0
New York Rangers,2020-21,56.0,27.0,23.0,6.0,60.0,0.536,176.0,155.0
Philadelphia Flyers,2020-21,56.0,25.0,23.0,8.0,58.0,0.518,160.0,197.0
Pittsburgh Penguins,2020-21,56.0,37.0,16.0,3.0,77.0,0.688,193.0,155.0
Boston Bruins,2020-21,56.0,33.0,16.0,7.0,73.0,0.652,164.0,134.0
Buffalo Sabres,2020-21,56.0,15.0,34.0,7.0,37.0,0.33,134.0,196.0
Montréal Canadiens,2020-21,56.0,24.0,21.0,11.0,59.0,0.527,158.0,165.0
Ottawa Senators,2020-21,56.0,23.0,28.0,5.0,51.0,0.455,155.0,189.0
Toronto Maple Leafs,2020-21,56.0,35.0,14.0,7.0,77.0,0.688,186.0,148.0
Carolina Hurricanes,2020-21,56.0,36.0,12.0,8.0,80.0,0.714,175.0,134.0
Florida Panthers,2020-21,56.0,37.0,14.0,5.0,79.0,0.705,188.0,151.0
Tampa Bay Lightning,2020-21,56.0,36.0,17.0,3.0,75.0,0.67,180.0,145.0
Washington Capitals,2020-21,56.0,36.0,15.0,5.0,77.0,0.688,188.0,161.0
Chicago Blackhawks,2020-21,56.0,24.0,25.0,7.0,55.0,0.491,159.0,184.0
Detroit Red Wings,2020-21,56.0,19.0,27.0,10.0,48.0,0.429,125.0,168.0
Nashville Predators,2020-21,56.0,31.0,23.0,2.0,64.0,0.571,151.0,154.0
St. Louis Blues,2020-21,56.0,27.0,20.0,9.0,63.0,0.563,167.0,167.0
Calgary Flames,2020-21,56.0,26.0,27.0,3.0,55.0,0.491,155.0,160.0
Colorado Avalanche,2020-21,56.0,39.0,13.0,4.0,82.0,0.732,197.0,132.0
Edmonton Oilers,2020-21,56.0,35.0,19.0,2.0,72.0,0.643,183.0,154.0
Vancouver Canucks,2020-21,56.0,23.0,29.0,4.0,50.0,0.446,148.0,187.0
Anaheim Ducks,2020-21,56.0,17.0,30.0,9.0,43.0,0.384,124.0,177.0
Dallas Stars,2020-21,56.0,23.0,19.0,14.0,60.0,0.536,156.0,148.0
Los Angeles Kings,2020-21,56.0,21.0,28.0,7.0,49.0,0.438,142.0,169.0
San Jose Sharks,2020-21,56.0,21.0,28.0,7.0,49.0,0.438,146.0,196.0
Columbus Blue Jackets,2020-21,56.0,18.0,26.0,12.0,48.0,0.429,134.0,184.0
Minnesota Wild,2020-21,56.0,35.0,16.0,5.0,75.0,0.67,180.0,159.0
Winnipeg Jets,2020-21,56.0,30.0,23.0,3.0,63.0,0.563,170.0,152.0
Arizona Coyotes,2020-21,56.0,24.0,26.0,6.0,54.0,0.482,150.0,174.0
Vegas Golden Knights,2020-21,56.0,40.0,14.0,2.0,82.0,0.732,190.0,122.0
New Jersey Devils,2021-22,82.0,27.0,46.0,9.0,63.0,0.384,245.0,302.0
New York Islanders,2021-22,82.0,37.0,35.0,10.0,84.0,0.512,229.0,231.0
New York Rangers,2021-22,82.0,52.0,24.0,6.0,110.0,0.671,250.0,204.0
Philadelphia Flyers,2021-22,82.0,25.0,46.0,11.0,61.0,0.372,210.0,294.0
Pittsburgh Penguins,2021-22,82.0,46.0,25.0,11.0,103.0,0.628,269.0,222.0
Boston Bruins,2021-22,82.0,51.0,26.0,5.0,107.0,0.652,253.0,218.0
Buffalo Sabres,2021-22,82.0,32.0,39.0,11.0,75.0,0.457,229.0,287.0
Montréal Canadiens,2021-22,82.0,22.0,49.0,11.0,55.0,0.335,218.0,317.0
Ottawa Senators,2021-22,82.0,33.0,42.0,7.0,73.0,0.445,224.0,264.0
Toronto Maple Leafs,2021-22,82.0,54.0,21.0,7.0,115.0,0.701,312.0,252.0
Carolina Hurricanes,2021-22,82.0,54.0,20.0,8.0,116.0,0.707,277.0,200.0
Florida Panthers,2021-22,82.0,58.0,18.0,6.0,122.0,0.744,337.0,242.0
Tampa Bay Lightning,2021-22,82.0,51.0,23.0,8.0,110.0,0.671,285.0,228.0
Washington Capitals,2021-22,82.0,44.0,26.0,12.0,100.0,0.61,270.0,242.0
Chicago Blackhawks,2021-22,82.0,28.0,42.0,12.0,68.0,0.415,213.0,289.0
Detroit Red Wings,2021-22,82.0,32.0,40.0,10.0,74.0,0.451,227.0,310.0
Nashville Predators,2021-22,82.0,45.0,30.0,7.0,97.0,0.591,262.0,250.0
St. Louis Blues,2021-22,82.0,49.0,22.0,11.0,109.0,0.665,309.0,239.0
Calgary Flames,2021-22,82.0,50.0,21.0,11.0,111.0,0.677,291.0,206.0
Colorado Avalanche,2021-22,82.0,56.0,19.0,7.0,119.0,0.726,308.0,232.0
Edmonton Oilers,2021-22,82.0,49.0,27.0,6.0,104.0,0.634,285.0,251.0
Vancouver Canucks,2021-22,82.0,40.0,30.0,12.0,92.0,0.561,246.0,231.0
Anaheim Ducks,2021-22,82.0,31.0,37.0,14.0,76.0,0.463,228.0,266.0
Dallas Stars,2021-22,82.0,46.0,30.0,6.0,98.0,0.598,233.0,244.0
Los Angeles Kings,2021-22,82.0,44.0,27.0,11.0,99.0,0.604,235.0,232.0
San Jose Sharks,2021-22,82.0,32.0,37.0,13.0,77.0,0.47,211.0,261.0
Columbus Blue Jackets,2021-22,82.0,37.0,38.0,7.0,81.0,0.494,258.0,297.0
Minnesota Wild,2021-22,82.0,53.0,22.0,7.0,113.0,0.689,305.0,249.0
Winnipeg Jets,2021-22,82.0,39.0,32.0,11.0,89.0,0.543,250.0,253.0
Arizona Coyotes,2021-22,82.0,25.0,50.0,7.0,57.0,0.348,206.0,309.0
Vegas Golden Knights,2021-22,82.0,43.0,31.0,8.0,94.0,0.573,262.0,244.0
Seattle Kraken,2021-22,82.0,27.0,49.0,6.0,60.0,0.366,213.0,284.0
New Jersey Devils,2022-23,82.0,52.0,22.0,8.0,112.0,0.683,289.0,222.0
New York Islanders,2022-23,82.0,42.0,31.0,9.0,93.0,0.567,242.0,217.0
New York Rangers,2022-23,82.0,47.0,22.0,13.0,107.0,0.652,273.0,216.0
Philadelphia Flyers,2022-23,82.0,31.0,38.0,13.0,75.0,0.457,220.0,276.0
Pittsburgh Penguins,2022-23,82.0,40.0,31.0,11.0,91.0,0.555,261.0,263.0
Boston Bruins,2022-23,82.0,65.0,12.0,5.0,135.0,0.823,301.0,174.0
Buffalo Sabres,2022-23,82.0,42.0,33.0,7.0,91.0,0.555,293.0,297.0
Montréal Canadiens,2022-23,82.0,31.0,45.0,6.0,68.0,0.415,227.0,305.0
Ottawa Senators,2022-23,82.0,39.0,35.0,8.0,86.0,0.524,259.0,270.0
Toronto Maple Leafs,2022-23,82.0,50.0,21.0,11.0,111.0,0.677,278.0,220.0
Carolina Hurricanes,2022-23,82.0,52.0,21.0,9.0,113.0,0.689,262.0,210.0
Florida Panthers,2022-23,82.0,42.0,32.0,8.0,92.0,0.561,288.0,272.0
Tampa Bay Lightning,2022-23,82.0,46.0,30.0,6.0,98.0,0.598,280.0,252.0
Washington Capitals,2022-23,82.0,35.0,37.0,10.0,80.0,0.488,253.0,261.0
Chicago Blackhawks,2022-23,82.0,26.0,49.0,7.0,59.0,0.36,202.0,299.0
Detroit Red Wings,2022-23,82.0,35.0,37.0,10.0,80.0,0.488,237.0,275.0
Nashville Predators,2022-23,82.0,42.0,32.0,8.0,92.0,0.561,223.0,236.0
St. Louis Blues,2022-23,82.0,37.0,38.0,7.0,81.0,0.494,260.0,298.0
Calgary Flames,2022-23,82.0,38.0,27.0,17.0,93.0,0.567,258.0,247.0
Colorado Avalanche,2022-23,82.0,51.0,24.0,7.0,109.0,0.665,274.0,223.0
Edmonton Oilers,2022-23,82.0,50.0,23.0,9.0,109.0,0.665,325.0,256.0
Vancouver Canucks,2022-23,82.0,38.0,37.0,7.0,83.0,0.506,270.0,296.0
Anaheim Ducks,2022-23,82.0,23.0,47.0,12.0,58.0,0.354,206.0,335.0
Dallas Stars,2022-23,82.0,47.0,21.0,14.0,108.0,0.659,281.0,215.0
Los Angeles Kings,2022-23,82.0,47.0,25.0,10.0,104.0,0.634,274.0,254.0
San Jose Sharks,2022-23,82.0,22.0,44.0,16.0,60.0,0.366,233.0,315.0
Columbus Blue Jackets,2022-23,82.0,25.0,48.0,9.0,59.0,0.36,213.0,329.0
Minnesota Wild,2022-23,82.0,46.0,25.0,11.0,103.0,0.628,239.0,219.0
Winnipeg Jets,2022-23,82.0,46.0,33.0,3.0,95.0,0.579,246.0,224.0
Arizona Coyotes,2022-23,82.0,28.0,40.0,14.0,70.0,0.427,225.0,295.0
Vegas Golden Knights,2022-23,82.0,51.0,22.0,9.0,111.0,0.677,267.0,225.0
Seattle Kraken,2022-23,82.0,46.0,28.0,8.0,100.0,0.61,289.0,252.0
New Jersey Devils,2023-24,82.0,38.0,39.0,5.0,81.0,0.494,264.0,281.0
New York Islanders,2023-24,82.0,39.0,27.0,16.0,94.0,0.573,245.0,258.0
New York Rangers,2023-24,82.0,55.0,23.0,4.0,114.0,0.695,278.0,226.0
Philadelphia Flyers,2023-24,82.0,38.0,33.0,11.0,87.0,0.53,231.0,258.0
Pittsburgh Penguins,2023-24,82.0,38.0,32.0,12.0,88.0,0.537,253.0,248.0
Boston Bruins,2023-24,82.0,47.0,20.0,15.0,109.0,0.665,263.0,221.0
Buffalo Sabres,2023-24,82.0,39.0,37.0,6.0,84.0,0.512,244.0,243.0
Montréal Canadiens,2023-24,82.0,30.0,36.0,16.0,76.0,0.463,232.0,281.0
Ottawa Senators,2023-24,82.0,37.0,41.0,4.0,78.0,0.476,250.0,281.0
Toronto Maple Leafs,2023-24,82.0,46.0,26.0,10.0,102.0,0.622,298.0,261.0
Carolina Hurricanes,2023-24,82.0,52.0,23.0,7.0,111.0,0.677,277.0,211.0
Florida Panthers,2023-24,82.0,52.0,24.0,6.0,110.0,0.671,265.0,198.0
Tampa Bay Lightning,2023-24,82.0,45.0,29.0,8.0,98.0,0.598,288.0,267.0
Washington Capitals,2023-24,82.0,40.0,31.0,11.0,91.0,0.555,216.0,252.0
Chicago Blackhawks,2023-24,82.0,23.0,53.0,6.0,52.0,0.317,178.0,289.0
Detroit Red Wings,2023-24,82.0,41.0,32.0,9.0,91.0,0.555,275.0,273.0
Nashville Predators,2023-24,82.0,47.0,30.0,5.0,99.0,0.604,266.0,248.0
St. Louis Blues,2023-24,82.0,43.0,33.0,6.0,92.0,0.561,234.0,248.0
Calgary Flames,2023-24,82.0,38.0,39.0,5.0,81.0,0.494,253.0,267.0
Colorado Avalanche,2023-24,82.0,50.0,25.0,7.0,107.0,0.652,302.0,252.0
Edmonton Oilers,2023-24,82.0,49.0,27.0,6.0,104.0,0.634,292.0,236.0
Vancouver Canucks,2023-24,82.0,50.0,23.0,9.0,109.0,0.665,279.0,221.0
Anaheim Ducks,2023-24,82.0,27.0,50.0,5.0,59.0,0.36,203.0,293.0
Dallas Stars,2023-24,82.0,52.0,21.0,9.0,113.0,0.689,294.0,232.0
Los Angeles Kings,2023-24,82.0,44.0,27.0,11.0,99.0,0.604,254.0,210.0
San Jose Sharks,2023-24,82.0,19.0,54.0,9.0,47.0,0.287,180.0,326.0
Columbus Blue Jackets,2023-24,82.0,27.0,43.0,12.0,66.0,0.402,234.0,298.0
Minnesota Wild,2023-24,82.0,39.0,34.0,9.0,87.0,0.53,248.0,260.0
Winnipeg Jets,2023-24,82.0,52.0,24.0,6.0,110.0,0.671,259.0,198.0
Arizona Coyotes,2023-24,82.0,36.0,41.0,5.0,77.0,0.47,254.0,274.0
Vegas Golden Knights,2023-24,82.0,45.0,29.0,8.0,98.0,0.598,263.0,243.0
Seattle Kraken,2023-24,82.0,34.0,35.0,13.0,81.0,0.494,214.0,232.0
